GEOID_20,tract_number_20,INTPTLAT,INTPTLON,Area Name,Secondary Review 
10005050603,50603,38.5890653,-75.3126364,Millsboro,
10005050604,50604,38.5582558,-75.2963156,Millsboro / Riverview,
10005050701,50701,38.6348589,-75.2534274,Hollyville,
10005050703,50703,38.5953496,-75.2311317,Riverdale,
10005050706,50706,38.6126915,-75.135149,"Long Neck, Bayside ",
10005050707,50707,38.6250573,-75.1712356,"The Peninsula, east Long Neck ",
10005050708,50708,38.6084045,-75.173135,Oak Orchard,
10005050709,50709,38.6511616,-75.1736779,Pine Water Neck ,
10005050710,50710,38.6362971,-75.1532976,Winding Creek ,
10005050711,50711,38.629738,-75.1141222,Massey's Landing,
10005050801,50801,38.8045382,-75.3101471,North Milton ,
10005050804,50804,38.7025707,-75.2584356,Ocean Meadows,
10005050805,50805,38.7353353,-75.3324184,Sand Hill ,
10005050806,50806,38.7601194,-75.2551308,Eagle Crest-Hudson,
10005050807,50807,38.753666,-75.2326063,Red Mill ,
10005050808,50808,38.7507247,-75.198667,Whispering Pines,
10005050903,50903,38.7740135,-75.158172,Lewes Historical  Area,
10005050904,50904,38.7608606,-75.148844,Savannah Rd ,
10005050905,50905,38.7916515,-75.217831,Oyster Rocks Neck ,
10005051008,51008,38.7410843,-75.1356342,Bay Crossing ,
10005051009,51009,38.7380906,-75.1102598,Wolfe Neck,
10005051010,51010,38.7147997,-75.1624529,Fisher Pond ,
10005051011,51011,38.7329306,-75.179201,Marblehead Dr,
10005051012,51012,38.6825449,-75.1704153,Woodland ,
10005051013,51013,38.6822087,-75.2046526,Lakewood,
10005051014,51014,38.6656639,-75.1404735,West Bay ,
10005051015,51015,38.7024755,-75.1502415,Marshtown ,
10005051016,51016,38.696787,-75.1040405,Blad Eagle ,
10005051017,51017,38.7127053,-75.1314215,Warringon Neck ,
10005051101,51101,38.7246512,-75.081308,North Rehoboth Beach ,
10005051102,51102,38.7095848,-75.0826663,South Rehoboth Beach,
10005051103,51103,38.6497729,-75.0786028,Delaware Seashore,
10005051201,51201,38.5853988,-75.0743771,Bethany Lakes,
10005051202,51202,38.5517754,-75.0697839,North Bethany Beach,
10005051203,51203,38.5318087,-75.0671513,South Bethany Beach,
10005051204,51204,38.5117964,-75.0539049,South Bethany ,
10005051205,51205,38.4775226,-75.0533451,Fenwick Island,
10005051302,51302,38.5154455,-75.16382,Millville ,
10005051307,51307,38.5648942,-75.1101812,Bayforest,
10005051308,51308,38.5705511,-75.1509289,Holts Landing,
10005051309,51309,38.4682223,-75.0785055,The Overlock ,
10005051310,51310,38.4875063,-75.122719,Old Mill Bridge ,
10005051311,51311,38.4556525,-75.096869,Big Red ,
10005051312,51312,38.4656497,-75.145069,Saltwater Landing,
10005051313,51313,38.5438368,-75.0988805,Ocean View ,
10005051314,51314,38.5107268,-75.0818958,Assawoman,
10005051400,51400,38.4688149,-75.2402646,Selbyville,
10005051501,51501,38.5290977,-75.2194073,Frankford,
10005051502,51502,38.5312188,-75.268874,Dagsboro,
10005051701,51701,38.566578,-75.4749782,Pusey Crossroads,
10005051702,51702,38.4907852,-75.4509188,Pepperbox,
10005051801,51801,38.5554691,-75.6570857,Portsvill ,
10005051802,51802,38.5385686,-75.5706918,Laurel ,
10005051900,51900,38.4886379,-75.6258541,Delmar,
10001980000,980000,39.124384,-75.4697989,Dover AFB,
10005980000,980000,38.7699472,-75.096402,Cape Henlopen,
10003980100,980100,39.7296342,-75.5152342,Willmingotn Port ,
10001990000,990000,39.1198917,-75.3068808,Del Bay ,
10005990000,990000,38.864806,-75.2250098,Del Bay ,
10003990100,990100,39.5884233,-75.5353703,Del River ,
